"name","director","year","budget","gross","score"
"Avengers: Endgame","Anthony Russo",2019,3.56e+08,2797501328,8.4
"Avengers: Infinity War","Anthony Russo",2018,3.21e+08,2048359754,8.4
"Star Wars: Episode VIII - The Last Jedi","Rian Johnson",2017,3.17e+08,1332698830,7
"Pirates of the Caribbean: at World's End","Gore Verbinski",2007,3e+08,960996492,7.1
"Justice League","Zack Snyder",2017,3e+08,657926987,6.1
"Solo: A Star Wars Story","Ron Howard",2018,2.75e+08,392924807,6.9
"Star Wars: Episode IX - The Rise of Skywalker","J.J. Abrams",2019,2.75e+08,1078232589,6.5
"Superman Returns","Bryan Singer",2006,2.7e+08,391081192,6
"Tangled","Nathan Greno",2010,2.6e+08,592462816,7.7
"The Lion King","Jon Favreau",2019,2.6e+08,1670727580,6.9
